consumer_id,consumer_name,consumer_email,consumer_city,phone_number,date_of_birth,address,loyalty_points,country
172,Hannah Thomas,christopher54@example.net,Nicolechester,001-663-491-3472,1971-01-05,"5170 Hernandez Oval East Mathew, CT 34926",502,Italy
240,Robert Cox,christopherwilson@example.com,Christopherside,001-648-727-6354,1957-03-24,"6657 Emily Ville East Stephen, OR 47708",774,Japan
137,Richard Dominguez,sean94@example.net,Haroldtown,001-342-207-7167,1996-09-21,"42977 Deborah Knoll Suite 847 Hayesshire, ME 11382",117,Brazil
55,Stephanie Watts,ljones@example.com,New Gregorychester,+1-352-752-3762,1955-02-17,"0144 Hardin Prairie South Thomas, OH 03108",275,France
324,Jennifer Rodriguez,amber64@example.com,South Heidiport,603.901.0562x4011,1975-04-06,"5466 Ray Orchard Suite 327 Dennisshire, HI 17435",257,Japan
483,Diana Rodriguez,smithwendy@example.net,Alyssaton,297-261-2433x952,1933-08-07,"071 Gonzalez Knolls Moorebury, MH 92737",514,Germany
475,Lauren Martin,dharris@example.net,Carrollfort,(769)488-1292,1989-06-11,"PSC 5966, Box 4366 APO AP 55147",512,Italy
361,Misty Miller,ufox@example.com,Tonyashire,001-549-281-0142x43119,1974-09-27,"900 Elizabeth Corner Andersonshire, WA 80291",930,Australia
440,Daniel Blevins,fchan@example.net,Port Stephanie,827.595.3214x780,1992-03-17,"260 Wesley Place Suite 021 East Jacquelineburgh, MS 49216",211,USA
37,Curtis Gill,thomasjenkins@example.com,Lake Mary,446-253-3362x643,1976-09-20,"3720 Anna Fords Stevenchester, IN 69833",131,Japan
392,Michael Warren,jennifergeorge@example.com,North Marissa,396.637.0688,1996-06-25,"0722 Bryant Shoals Apt. 139 North Sherryview, IL 15625",345,Canada
121,John Myers,jerrypetersen@example.com,Davenportmouth,903.834.9821,1986-08-11,"17911 Philip Harbor Port Catherinehaven, OR 89478",487,Japan
268,Regina Wilcox,deanna54@example.org,Brianton,(650)979-5232x8992,1996-01-05,"13214 Ruiz Run Apt. 235 North Rose, KS 25075",937,Japan
295,David Howard,burtontamara@example.com,Richardfurt,(953)684-7300x452,1985-08-06,"84264 Smith Key New Michaelmouth, GU 68488",723,USA
433,Timothy Walker,jonhunt@example.com,New Joseph,665.586.5566,2006-05-14,"57287 Jonathan Estates Apt. 458 West Williamtown, FL 47647",492,UK
53,Jasmine Hall,smithmargaret@example.net,Michelletown,890.396.3774x26033,1946-01-27,"2611 Curtis Tunnel East Stacey, MN 10763",538,Australia
128,Rachel Branch,kimberly38@example.org,Lauraland,697.431.9509,1962-02-11,"985 Richard Dam Suite 882 Jonesfort, MN 62354",767,Italy
305,Christopher Benjamin,cbaker@example.org,Port Maxwellside,769.471.3056x4589,1978-03-14,"45615 Mary Parkways Suite 452 North Jamesland, MD 29524",260,China
403,Jeffrey Harris,slopez@example.org,Olsonstad,+1-298-703-2156x76986,1952-12-30,"271 Morrow Views New Danielle, MO 42493",140,France
298,Lisa Rose,scombs@example.com,Hartmouth,(471)927-7723x2152,1963-09-05,"2098 Carter Court Apt. 746 Lake Johnton, GU 72117",853,Italy
485,John Moreno,ihenderson@example.com,North Christopherborough,345.282.8633,1983-04-11,"7025 Kevin Lights Suite 775 East Paige, MH 42227",633,UK
88,Natalie Cook,megan86@example.org,Hutchinsonport,(530)787-3400x4900,1982-09-14,"940 Brian Cliff Nancyshire, VA 35701",979,Canada
75,Mario Escobar,brittneykim@example.com,Francisfurt,818.807.4151x758,1947-03-18,"66500 Michael Turnpike Robertsfort, SD 93904",320,Canada
398,Brian Bautista,djohnson@example.com,Miketown,(739)981-3642x069,1957-09-02,"3845 Bennett Rapid Suite 163 Lake Laurenfort, TN 97068",795,UK
173,Kristin Wright,vmolina@example.com,Port Daniel,(445)820-9986,1996-09-02,"7546 Boyd Manor Manningbury, AK 55040",300,Japan
312,Whitney Armstrong,rhays@example.com,Cassandraberg,(349)472-8341x724,1982-05-12,"USCGC Pennington FPO AE 72924",947,Australia
308,Michael Barnes,josephhuang@example.net,Aaronmouth,713-518-6069x43281,1959-03-18,"260 King Corner Apt. 744 Billyton, RI 06051",201,Canada
312,Brandon Wilcox,sbullock@example.com,North Dawnmouth,322-883-7899,2003-04-21,"8671 Denise Lodge Apt. 548 Port Brandonburgh, CT 32879",367,Italy
266,Amanda Rivera,ashleystewart@example.net,North Coreymouth,866.775.5027x1852,1937-09-12,"257 Allen Prairie Apt. 938 East Nicoleland, PA 23849",426,Germany
